{'loss': '1.538', 'grad_norm': '1.156e+15', 'learning_rate': '0.0001999', 'epoch': '0.04464'}
{'loss': '1.475', 'grad_norm': '9.642e+14', 'learning_rate': '0.0001999', 'epoch': '0.0453'}
{'loss': '1.539', 'grad_norm': '3.179e+17', 'learning_rate': '0.0001999', 'epoch': '0.04597'}
{'loss': '1.507', 'grad_norm': '1.919e+13', 'learning_rate': '0.0001999', 'epoch': '0.04663'}
{'loss': '1.553', 'grad_norm': '4.849e+12', 'learning_rate': '0.0001998', 'epoch': '0.0473'}
{'loss': '1.479', 'grad_norm': '1.093e+16', 'learning_rate': '0.0001998', 'epoch': '0.04797'}
{'loss': '1.689', 'grad_norm': '5.255e+15', 'learning_rate': '0.0001998', 'epoch': '0.04863'}
{'loss': '1.687', 'grad_norm': '6.013e+09', 'learning_rate': '0.0001998', 'epoch': '0.0493'}
{'loss': '1.539', 'grad_norm': 'inf', 'learning_rate': '0.0001998', 'epoch': '0.04997'}
{'loss': '1.631', 'grad_norm': 'inf', 'learning_rate': '0.0001998', 'epoch': '0.05063'}
{'loss': '1.692', 'grad_norm': '6.229e+14', 'learning_rate': '0.0001998', 'epoch': '0.0513'}
{'loss': '1.745', 'grad_norm': '2.154e+12', 'learning_rate': '0.0001997', 'epoch': '0.05196'}
{'loss': '1.804', 'grad_norm': '2.331e+15', 'learning_rate': '0.0001997', 'epoch': '0.05263'}
{'loss': '2.388', 'grad_norm': '4.53e+11', 'learning_rate': '0.0001997', 'epoch': '0.0533'}
{'loss': '2.634', 'grad_norm': '3.039e+11', 'learning_rate': '0.0001997', 'epoch': '0.05396'}
{'loss': '3.493', 'grad_norm': '2.258e+09', 'learning_rate': '0.0001997', 'epoch': '0.05463'}
{'loss': '6.817', 'grad_norm': '88.74', 'learning_rate': '0.0001997', 'epoch': '0.05529'}
{'loss': '6.622', 'grad_norm': '1.521e+04', 'learning_rate': '0.0001996', 'epoch': '0.05596'}
{'loss': '6.316', 'grad_norm': '29.48', 'learning_rate': '0.0001996', 'epoch': '0.05663'}
{'loss': '6.043', 'grad_norm': '232.6', 'learning_rate': '0.0001996', 'epoch': '0.05729'}
{'loss': '6.163', 'grad_norm': '4.412e+07', 'learning_rate': '0.0001996', 'epoch': '0.05796'}
